unit_id,person_id,capability,motivation,role_clarity,psychological_safety,leadership_trust,cultural_norm_strength,incentive_alignment,workload_pressure,burnout_pressure,hierarchical_pressure,perceived_voice_efficacy,fear_of_retaliation,behavior_quality,voice_behavior,behavior_system_risk
Unit_01,Person_01,82,79,81,83,84,82,80,28,25,22,80,12,85,1,16
Unit_01,Person_02,79,77,78,83,84,82,80,30,28,22,78,14,82,1,19
Unit_01,Person_03,76,74,75,83,84,82,80,33,31,22,76,16,79,1,23
Unit_02,Person_01,68,64,63,61,63,62,60,46,44,42,59,36,64,1,45
Unit_02,Person_02,65,61,60,61,63,62,60,51,49,42,56,40,60,0,51
Unit_02,Person_03,62,58,57,61,63,62,60,56,54,42,53,44,57,0,56
Unit_03,Person_01,86,83,84,85,86,84,82,20,18,18,84,8,89,1,11
Unit_03,Person_02,83,80,81,85,86,84,82,23,21,18,82,10,86,1,14
Unit_03,Person_03,80,77,78,85,86,84,82,26,24,18,80,12,83,1,17
Unit_04,Person_01,58,43,39,33,34,35,36,72,74,76,34,72,42,0,82
Unit_04,Person_02,55,40,36,33,34,35,36,77,79,76,31,76,38,0,87
Unit_04,Person_03,52,37,33,33,34,35,36,82,84,76,28,80,34,0,92
Unit_05,Person_01,74,71,72,72,73,71,70,38,36,32,70,24,75,1,32
Unit_05,Person_02,71,68,69,72,73,71,70,42,40,32,67,28,72,1,37
Unit_05,Person_03,68,65,66,72,73,71,70,46,44,32,64,32,68,1,42
Unit_06,Person_01,61,50,48,44,47,45,46,63,61,61,43,58,49,0,68
Unit_06,Person_02,58,47,45,44,47,45,46,68,66,61,40,62,45,0,73
Unit_06,Person_03,55,44,42,44,47,45,46,73,71,61,37,66,41,0,78
Unit_07,Person_01,80,76,78,78,80,78,77,31,29,26,77,18,80,1,25
Unit_07,Person_02,77,73,75,78,80,78,77,34,32,26,74,20,77,1,28
Unit_07,Person_03,74,70,72,78,80,78,77,38,36,26,71,24,73,1,33
Unit_08,Person_01,59,42,38,35,36,36,35,76,78,78,35,76,40,0,84
Unit_08,Person_02,56,39,35,35,36,36,35,81,83,78,32,80,36,0,89
Unit_08,Person_03,53,36,32,35,36,36,35,86,88,78,29,84,32,0,94
Unit_09,Person_01,82,78,80,80,81,79,78,27,24,23,78,14,83,1,20
Unit_09,Person_02,79,75,77,80,81,79,78,30,27,23,76,17,80,1,23
Unit_09,Person_03,76,72,74,80,81,79,78,34,31,23,73,21,76,1,28
Unit_10,Person_01,60,45,41,37,39,38,37,70,72,72,37,70,43,0,77
Unit_10,Person_02,57,42,38,37,39,38,37,75,77,72,34,74,39,0,82
Unit_10,Person_03,54,39,35,37,39,38,37,80,82,72,31,78,35,0,87
